Form Code (Ascending),Item Code,Page,Stat Code,Data Type,Sequence,Literal,Unit of measure,List Code,Minimum Value Warning,Maximum Value Warning,Minimum Value Error,Maximum Value Error,Entry Places,Decimal Places,Entry Required,Required message,Read only,Hide Item,Not extractable,Default value,Parent item code,Sub-Form Code,Cell - Line number,Cell - Column number,Count Number
AE - Adverse Events,AEACNOTH,1,,Group of Booleans,18,Action Taken in response to the AE (multiple items can be selected if 'None' is blank),,,,,,,,,Optional,,No,No,Yes,,,,,,1
AE - Adverse Events,AEACNOTH_DRUG,1,AEACNOTH_DRUG,Boolean,1,Drug Intervention (medication taken),,,,,,,,,Optional,,No,No,No,,AEACNOTH,,,,1
AE - Adverse Events,AEACNOTH_NDRNPR,1,AEACNOTH_NDRNPR,Boolean,4,"Other Intervention (e.g. physiotherapy, hospitalisation)",,,,,,,,,Optional,,No,No,No,,AEACNOTH,,,,1
AE - Adverse Events,AEACNOTH_NDRNPR_SP,1,AEACNOTH_NDRNPR_SP,Text memo,20,Specify Other Intervention(s),,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEACNOTH_NONE,1,AEACNOTH_NONE,Boolean,0,None (no action required),,,,,,,,,Optional,,No,No,No,,AEACNOTH,,,,1
AE - Adverse Events,AEACNOTH_PROC,1,AEACNOTH_PROC,Boolean,2,Procedural Intervention (procedure or surgery performed),,,,,,,,,Optional,,No,No,No,,AEACNOTH,,,,1
AE - Adverse Events,AEACNOTH_TESTS,1,AEACNOTH_TESTS,Boolean,3,"Assessment / Test (e.g. ECG, lab test)",,,,,,,,,Optional,,No,No,No,,AEACNOTH,,,,1
AE - Adverse Events,AEACNOTH_TESTS_SP,1,AEACNOTH_TESTS_SP,Text memo,19,Specify Assessment(s) / Test(s),,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEAWDAT,1,AEAWDAT,Date,8,Date of Site Awareness,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEDIS,1,AEDIS,List of values,22,Caused Study Discontinuation?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEENDAT,1,AEENDAT,Date,12,Resolution Date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEENTIM,1,AEENTIM,Time,14,Resolution Time,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEENTIM_YN,1,AEENTIM_YN,List of values,13,Resolution Time Known?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEHENDAT,1,AEHENDAT,Date,37,Hospital Discharge Date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEHENDAT_YN,1,AEHENDAT_YN,List of values,36,Has the patient been discharged from hospital yet?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEHSTDAT,1,AEHSTDAT,Date,35,Hospital Admission Date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AENARR,1,AENARR,Text memo,4,Adverse Event Narrative (optional),,,,,,,,,Optional,,No,No,No,,,,,,1
AE - Adverse Events,AENOTDAT,1,AENOTDAT,Date,25,Sponsor Notification Date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AENOTTYP,1,AENOTTYP,Drop-down list,26,Method of Notification,,AE SAE Notification Type,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEONGO,1,AEONGO,List of values,9,Is the adverse event ongoing?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEOUT,1,AEOUT,Drop-down list,21,AE Outcome,,AE Outcome - CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEREL_DEV,1,AEREL_DEV,Drop-down list,15,Relationship of the AE to the device,,AE Device/Procedure Causality,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AEREL_PRO,1,AEREL_PRO,Drop-down list,16,Relationship of the AE to the device procedures,,AE Device/Procedure Causality,,,,,,,Confirmable,,No,No,No,,,,,,1
